Sl. No.	Chen	Gierahn	Grun	Islam	Klein	Savas	Soumillon2	Tung	Soumillon1	Zigenhein	Soumillon3
1	ENSG00000267224	GATSL3	Thbs1	Ucp2	Gm2002	ENSG00000232117	CCDC172	ENSG00000196653	ACTL6A	ENSMUSG00000029188	POSTN
2	ENSG00000235358	AP000704.5	S100a6	Lynx1	Il11ra2	ENSG00000164530	ACTL6A	ENSG00000145975	FGF23	ENSMUSG00000083840	SAA3P
3	ENSG00000250543	IER5L	Dppa3	Tnfaip2	4933402N03Rik	ENSG00000236559	GRIN3B	ENSG00000159915	CCDC172	ENSMUSG00000076137	PLA2G2A
4	ENSG00000169181	AC145212.1	Tagln	Ccl2	Olfr525	ENSG00000105650	SEMA3D	ENSG00000159885	CXCL14	ENSMUSG00000094248	MKI67
5	ENSG00000233515	CNTNAP3	Mgp	Cr1l	Gm2011	ENSG00000122543	ESR1	ENSG00000018869	GFOD1	ENSMUSG00000063001	SOCS5
6	ENSG00000260034	MYRF	S100a4	Nrip1	Fam229b	ENSG00000250073	ASAP1-IT1	ENSG00000053438	KLHL7-AS1	ENSMUSG00000097032	DMXL2
7	ENSG00000108602	PTPRJ	Timp2	Dqx1	Spag11b	ENSG00000226578	LINC00423	ENSG00000182195	PLCB4	ENSMUSG00000078789	AHNAK2
8	ENSG00000169962	AC079949.1	Bgn	Ube2e2	Olfr1505	ENSG00000177732	LOC100303749	ENSG00000169548	NEUROD2	ENSMUSG00000094777	TPX2
9	ENSG00000270188	PLK3	Col4a1	Kdm5d	Mrgpra5	ENSG00000106066	ZBED6	ENSG00000155754	TEX35	ENSMUSG00000053173	PPP1R14A
10	ENSG00000263327	RP11-126L15.4	Fbln2	Sec22c	Sprr2d	ENSG00000267152	DGKH	ENSG00000131849	RAB39A	ENSMUSG00000061684	POGK
11	ENSG00000271871	IRX5	Ccnd2	Pvrl1	5730435O14Rik	ENSG00000159403	EPSTI1	ENSG00000198028	LINC00629	ENSMUSG00000029821	BROX
12	ENSG00000154415	RP11-115D19.1	Fos	Ankrd13b	Mir3473d	ENSG00000222014	CLRN1	ENSG00000165118	ZNF23	ENSMUSG00000042570	GLYCTK
13	ENSG00000211747	SPSB4	Dnmt3l	Ptplad2	Apol9a	ENSG00000118292	EXOC6B	ENSG00000253846	TPX2	ENSMUSG00000097491	ANLN
14	ENSG00000077264	ADAMTS10	Thy1	Rin3	Olfr138	ENSG00000117650	FCGR2C	ENSG00000148677	SAA3P	ENSMUSG00000082884	TOP2A
15	ENSG00000272642	LPAR2	Anxa1	Smyd2	Omt2a	ENSG00000160307	EGR2	ENSG00000132840	DKK2	ENSMUSG00000095600	GXYLT2
16	ENSG00000262097	RP11-834C11.5	Spry4	P2ry14	Apol9b	ENSG00000173369	FGF23	ENSG00000106153	SCN2A	ENSMUSG00000081965	SEL1L3
17	ENSG00000261404	U47924.31	Egr1	Mast3	Olfr108	ENSG00000234915	OGN	ENSG00000183206	LOC100505636	ENSMUSG00000086837	PARM1
18	ENSG00000167711	SIM1	Gm9376	Nupl2	Omt2b	ENSG00000249736	IDI2-AS1	ENSG00000181666	CIRBP	ENSMUSG00000064193	SSX2IP
19	ENSG00000267779	TCP10L	Serpine1	Mir214	Il12a	ENSG00000164251	THAP9	ENSG00000137434	FOXD2	ENSMUSG00000067714	SLC22A15
20	ENSG00000272707	PCDH19	Basp1	Ttc17	Olfr3	ENSG00000267834	CXCL14	ENSG00000164756	CDC20	ENSMUSG00000082755	APOE
21	ENSG00000235994	RP11-309G3.3	Crxos1	Csgalnact1	1700044C05Rik	ENSG00000135218	PTPLB	ENSG00000106013	POGK	ENSMUSG00000097379	KDM4A
22	ENSG00000127954	RP3-337H4.9	Aebp1	Arhgap31	Ect2l	ENSG00000182578	RPS4Y1	ENSG00000185869	C1orf145	ENSMUSG00000096991	HIVEP2
23	ENSG00000053702	AC017048.4	Col4a2	5730409E04Rik	Cst13	ENSG00000211592	MT1DP	ENSG00000212719	ERMP1	ENSMUSG00000072294	CEP112
24	ENSG00000186847	AC079145.4	Zscan4c	Kitl	Odf1	ENSG00000159189	CACNA2D1	ENSG00000184674	HSD17B8	ENSMUSG00000095352	C1orf159
25	ENSG00000162761	AC093590.1	Serpine2	Kctd15	Meox1	ENSG00000204531	ZBTB37	ENSG00000204007	LOC284412	ENSMUSG00000021390	STARD4-AS1
26	ENSG00000272334	AL031663.2	Dusp6	Fam46a	Olfr1513	ENSG00000232412	KRT26	ENSG00000197134	DMXL2	ENSMUSG00000032192	CDK6
27	ENSG00000251230	AMPD3	Peg10	Cc2d1a	Olfr767	ENSG00000282246	SCNN1G	ENSG00000130226	RAPGEF1	ENSMUSG00000075420	TEK
28	ENSG00000227704	APOL6	Inhba	Fosl1	Prr33	ENSG00000161835	BTNL8	ENSG00000160321	ZSCAN32	ENSMUSG00000053835	LRRTM2
29	ENSG00000158571	ARHGAP19-SLIT1	Igfbp7	6-Sep	4921534H16Rik	ENSG00000211799	FLJ16341	ENSG00000182747	SLCO4C1	ENSMUSG00000064360	NCOA2
30	ENSG00000253549	ASIC4	Eras	Iffo1	Olfr67	ENSG00000212719	LOC100507600	ENSG00000119715	GTSE1-AS1	ENSMUSG00000031986	OSBPL3
31	ENSG00000106927	BSN-AS2	Zscan4a	Arhgap24	4921508D12Rik	ENSG00000101605	PARM1	ENSG00000213185	LOC101054525	ENSMUSG00000087528	DDX60L
32	ENSG00000260268	C1orf116	Tcf15	Mtmr10	4931429P17Rik	ENSG00000129195	ATE1	ENSG00000182230	C3orf14	ENSMUSG00000047603	KCNB1
33	ENSG00000159625	CALR3	Igf2	Sorcs2	5430421N21Rik	ENSG00000260027	P2RY6	ENSG00000137441	AHNAK2	ENSMUSG00000089958	SLED1
34	ENSG00000184544	CAMTA1-IT1	Cryab	Cobll1	Gml	ENSG00000142945	PDIK1L	ENSG00000124490	GZF1	ENSMUSG00000046415	ELF3
35	ENSG00000141934	CDH22	Gpx2-ps1	Pitpnm1	2210416O15Rik	ENSG00000164692	SIPA1L2	ENSG00000141968	IL12B	ENSMUSG00000097006	ASB7
36	ENSG00000099617	CEACAM1	Myl9	Mn1	Gm2012	ENSG00000110079	PNPLA5	ENSG00000170128	TRMT61A	ENSMUSG00000087943	OSGIN2
37	ENSG00000187908	CLDN4	Gpx2	Tap1	Capn11	ENSG00000228172	LRRC17	ENSG00000196966	KDM4A	ENSMUSG00000054967	DDX60
38	ENSG00000186340	CTC-277H1.7	Gsn	Creb5	Hsd3b1	ENSG00000233791	ARHGAP28	ENSG00000125618	BMPR1B	ENSMUSG00000024910	TDRD3
39	ENSG00000185737	CTD-2083E4.4	Phlda1	Col6a1	Olfr765	ENSG00000013016	HDAC9	ENSG00000198453	POSTN	ENSMUSG00000058838	SCARA3
40	ENSG00000213416	CTD-2349P21.11	Capn2	Rbm43	4930500F04Rik	ENSG00000080200	MSI2	ENSG00000086159	CSNK2A2	ENSMUSG00000080848	HS3ST3B1
41	ENSG00000232504	CTD-2377D24.6	Xlr3b	Nr2f2	Olfr297	ENSG00000006704	LOC100506172	ENSG00000111046	TMEM176B	ENSMUSG00000082179	PCNXL2
42	ENSG00000225411	CYP1A1	Anxa3	Znrf2	Gm20740	ENSG00000132744	RUNX1T1	ENSG00000258417	HENMT1	ENSMUSG00000057551	C14orf180
43	ENSG00000228392	DBX2	Porcn	1110067D22Rik	Olfr1212	ENSG00000255337	LDLRAD3	ENSG00000171954	STMN2	ENSMUSG00000043336	CEBPA
44	ENSG00000166689	DCAF4L1	Htra1	2300009A05Rik	Mc2r	ENSG00000102886	CADM2-AS2	ENSG00000186439	LINC00423	ENSMUSG00000064325	FAM195A
45	ENSG00000186509	DIAPH2-AS1	Spic	Vldlr	Olfr356	ENSG00000158402	PDE1C	ENSG00000223474	LINC00620	ENSMUSG00000035045	BAALC
46	ENSG00000169900	DLEC1	Grin1	Kctd12	Lilrb4	ENSG00000251191	CEACAM1	ENSG00000269375	EN1	ENSMUSG00000043770	MICAL2
47	ENSG00000234721	DLL4	Cotl1	Ankrd52	Cdh6	ENSG00000173372	KIF9-AS1	ENSG00000168314	ZNF229	ENSMUSG00000025094	CDC20
48	ENSG00000253138	DPY19L2	1190005I06Rik	Moxd1	Asb18	ENSG00000112984	SRGAP2B	ENSG00000164241	CELF4	ENSMUSG00000055150	CSNK2A3
49	ENSG00000019169	FAM222A	Pdzrn4	Sdr39u1	1700017D01Rik	ENSG00000125618	ZRANB3	ENSG00000125730	RGR	ENSMUSG00000083932	BBS2
50	ENSG00000206187	FBLN7	Xlr3c	Rnf121	Slc2a6	ENSG00000223511	MCF2L2	ENSG00000157005	GPM6A	ENSMUSG00000047654	ZRANB2-AS1
